instagram_account,username,comment
https://www.instagram.com/casmunumun,casmunumun,Semoga utk memilih pembantunya org2 yg amanah dan bisa dipercaya tidak haus kekuasaan dan jgn satu pun Mentri rezim ini di pake lagi
https://www.instagram.com/ennyradite,ennyradite,"Sdh diterima kok dgn lapang dada , tapi  menang yg curang tidak  baik utk demokrasi"
https://www.instagram.com/adminaahhh,adminaahhh,Selamat buat 02 semoga amanah buka lapangan kerja seluas luasnya bagi anak cucu indonesia
https://www.instagram.com/rich_ard378,rich_ard378,Protes pilpres ga lagi tp demo tepati janji/program kampanye tetep dong...????..apalg pakai2 alasan urgensi atau demi bangsa dan negara...penipuan itu..????
https://www.instagram.com/sisiltamar,sisiltamar,Berjalan dimuka bumi dgn predikat anak gak cukup umur dipaksakan & begal mk akan melekat selagi hayat dikandung badan...& seantero dunia tau...menyedihkan...jd wahai para pemuda diluar sana kalo kalian gak punya bapak/paman/kolega??? Jgn harap karir kalian akan bagus ya!!!!!!!!!! Direpublik ini yg dibutuhkan hanya ada koneksi...percuma skolah tinggi...gak ada artinya!!!!!????????????
https://www.instagram.com/rlin__poetri,rlin__poetri,Hanya orang stres yg terima kalian sebagai presiden??
https://www.instagram.com/doel4346,doel4346,"Harus lapang dada jika nanti BBM naik, pajak naik, listrik naik,iuran BPJS kesehatan naik,elpiji naik ..... Kata Prabowo jogetin aja"
https://www.instagram.com/_candrabuana_,_candrabuana_,"Menang bagi manusia belum tentu kata Allah .kalau,manusia byk yg berpihak,kpd yg salah tunggu mala petaka,akan di terima oleh manusia  yg memuja keziliman menurut Allah semoga itu tidak terjadi di Indonesia."
https://www.instagram.com/marzboymarzuki,marzboymarzuki,"NKRI DIAMBANG KEHANCURAN KARENA DIPIMPIN DENGAN CARA YANG TIDAK BAIK DAN AKAN DIGANTIKAN DENGAN PEMIMPIN BANDIT MAFIA KKN, MUNAFIK DAN PASIK.."
https://www.instagram.com/abahdulhadi57,abahdulhadi57,Silahkan nikmati kemenangan hasil curang..??Kami ttp berdiri di barisan Perubahan..?
https://www.instagram.com/srirahayuauliajasmin,srirahayuauliajasmin,Bodo amat andai jadi pun aku gk merasa punya presiden yg  melanggaar hukum Ham dan kriminal
https://www.instagram.com/m.edy01,m.edy01,"Ya terima sajalah meski berat hati , setiap kebaikan ada nilainya ,begitu pula kejahatan pasti ada balasannya"
https://www.instagram.com/rioburunguju,rioburunguju,Apa kata mk aja pak. Yg pnting brantas korupsi setuntas2nya pak????
https://www.instagram.com/rappi_grosir,rappi_grosir,Tetap aja Curang.......!!! Tidak akan membawa keberkahan...
https://www.instagram.com/dulk.halim,dulk.halim,Alhamdulillah selamat pak pragib semoga amanah dan barokah aamiin
https://www.instagram.com/nanang_handoko,nanang_handoko,Sudahlah. Hormatin putusan MK. Mau protes anda juga nggak bakal jadi apa2 ??
https://www.instagram.com/nangin_andre,osamukita_indonesia,"Alhamdulillah ala kulihal ya pak. Kalau benar Bapak menang dengan cara jujur dan adil, Saya doakan menjadi pemimpin yg amanah & berkah. Tapi kalau kebalikannya, seburuk-buruknya azab menimpa bapak dan kubu?nya"
https://www.instagram.com/nangin_andre,"
borwichbrown",Jujur kasian dgn Pak Prabowo Subianto. Misal jadi presiden pun kesannya tetep cm Presiden Boneka aja 
