publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-03-07T19:50:15Z,@EkiBae-bb3on,"Sekarang aja di lantiknya, pak kami sudah sangat sulit . Sempit nya lapangan pekerjaan",0.0,
2024-03-07T11:44:13Z,@user-ws7zl7cc5g,Hacurkan kemiskinan di Indonesia ini,0.0,
2024-03-07T11:00:44Z,@_USU,Presiden haram,0.0,
2024-03-07T08:12:15Z,@Ferrikepahiang,"terharu gua bahagia,terimakasih ya Allah,alhamdulillah🎉🎉❤",8.0,
2024-03-07T07:36:50Z,@UdinSalleh-vq8pf,Lebih parah lagi pak parabowo di bandingkan pak Jokowi memimpin Indonesia ,0.0,
2024-03-06T17:54:47Z,@coral4652,Indonesia di guyur badai🌪,0.0,
2024-03-06T11:18:41Z,@alfarizi127,"INGAT SELISIH JAUH,YANG KALAH HARUS terima,PILRES AMAN DAMAI ",0.0,
2024-03-06T01:02:11Z,@sandylaning1119,Prabowo Subianto jadi presiden j,0.0,
2024-03-05T16:01:29Z,@MohTarom-si8uw,Presiden ku no 2,0.0,
2024-03-05T08:55:22Z,@user-xo7dp5pi2v,Prabowo presiden ri ke 8 mantap,0.0,
2024-03-04T21:26:38Z,@napipoly4485,Menyala Abang ku,0.0,
2024-03-04T18:38:45Z,@mardianpaleka5602,Menyala Bapaku❤️,4.0,
2024-03-04T18:38:24Z,@mardianpaleka5602,Aamiin Prabowo presiden nya,1.0,
2024-03-04T13:48:30Z,@ndokyas4576,"Semoga mulutmu busuk dimasuki belatung , kamu berdoa agar bpk prabowo untuk jadi di lantik kamu busuk hatimu akan kemasukan belatung ya....",0.0,
2024-03-04T10:42:04Z,@lianamayvia8884,Insya Allah Bapak Prabowo Subianto menjadi Presiden RI yang baik dan amanah,6.0,
2024-03-04T08:54:59Z,@achsofiharyadi2213,Ini tv nya Surya Paloh 😂,0.0,
2024-03-04T06:40:15Z,@AraSinatria,"Iya harus yakin, jangan terpengaruh oleh media yang pemiliknya mengalamai kekalahan",1.0,
2024-03-03T17:42:08Z,@ibenboy1570,Alhamdulillah udah ga sabar liat pak Prabowo di Lantik presiden RI 2024,13.0,
2024-03-03T07:58:25Z,@insiatun1693,"YG JELAS PRABOWO DIPILIH SEKRANG AJA UDH 75 JUTA RAKYAT, YG MENGANGGAP CURANG SM DNG MENCURI SUARA RAKYAT",1.0,
2024-03-03T06:43:02Z,@alvariel560,semoga allah tidak izin pengkhianat jd pemimpin ,0.0,
2024-03-02T16:06:11Z,@samijahsamijah7505, METROTV  NARASI NYA DARI DULU MIRING MIRING kalau SOAL PRABOWO,0.0,
2024-03-02T16:05:07Z,@samijahsamijah7505,MAJU TERUS PAK PRABOWO JADI RT SAJA  BANYAK YG PRO DAN KONTRA KOK REPOT,0.0,
2024-03-02T14:57:10Z,@BrandalSurgo,"Kalo Sudah Jelas Paslon 02 paling banyak curangnya, Ya HARUS DIVONIS KALAH. 
",0.0,
2024-03-02T14:45:41Z,@user-ex5cb5pg4t,JeLAS PRABOWO JD PRESIDEN KaReN CURANG,0.0,
2024-03-02T13:24:14Z,@bodronoyo..1372,"Semoga menjadi presiden NKRI yg amanah...
",0.0,
2024-03-02T13:20:17Z,@indrabakti7404,hukuman yang berat,0.0,
2024-03-02T13:14:21Z,@user-jz2pv9ms6q,Jgn mimpi mas masih proses 😂😂 rakyat republik Indonesia siap tempur untuk jaga NKRI,1.0,
2024-03-02T13:13:20Z,@albinersitumorang1205,"Sebenarnya apa yg salah dengan perkataan Prabowo..
Yang saya simak adalah :
1. Tentang keyakinan  akan menang. 
2. Janji ttg program yg akan dilakukan setelah dilantik .

Lah, paslon yg kalah ( benarberdasarkan hitung cepat )
Menyatakan hal yg sama.

Anda berdoa agar tdk jadi dilantik..
Apakah Allah yg anda sembah beda dgn Allah yg disembah Prabowo ?
Kalau doa anda manjur, tentu paslon yg anda pilih menang..",1.0,
2024-03-02T13:05:47Z,@HabasiahSolona,Terlalu ambisi.,0.0,
2024-03-02T13:00:55Z,@babang_channell83, bangun lu jangan tidur mulu kebanyakan mimpi lu pe'a,0.0,
2024-03-02T12:59:38Z,@kelasX-12sman1cibadak,Yang komen rata rata pendukung anis yang katanya agamis.. tapi hatinya pada dengki,0.0,
2024-03-02T12:57:51Z,@linkanata2475,Kami terus dukung Pak Prabowo dan Mas Gibran,0.0,
2024-03-02T12:52:55Z,@adli365,"Yakin pak Prabowo jadi presiden atas ridlo Allah SWT, yg kalah jangan nangis dan banyak bacot, nggabung aja lah, legowo. Pak Mahfud MD yg Profesor juga dah legowo, udah menyebut dirinya mantan cawapres kok.",1.0,
2024-03-02T12:51:21Z,@pemburualam3071,PRESIDENKU BUKAN PRESIDEN YG CURANG.,4.0,
2024-03-02T12:49:16Z,@jokohermanto5043,Kelompok sakit hati makinramai,1.0,
2024-03-02T12:46:41Z,@WinSupeR-vw5xs,Kok bisa ya,0.0,
2024-03-02T12:46:32Z,@LaodeLaode-qo6zy,Mantap presiden ku,2.0,
2024-03-02T12:44:49Z,@kingpower960,SEHAT TRUS PAK PRABOWO SAMPAI MASA BAKTI 5 TAHUN. 😇🙏,1.0,
2024-03-02T12:43:00Z,@muhammadzen7752,Jangan terlalu Halu jendral 😅,0.0,
2024-03-02T12:38:18Z,@IbuMus-ei7uf,rakyat nya antri beras yg sedikit lebih murah bukan beras gratis,4.0,
2024-03-02T12:38:03Z,@adli365,"Curangnya dimana hayo , yang milih rakyat kok curang. Tetep yg jadi presiden itu Prabowo. Ramalan Gusdur akan terbukti ",0.0,
2024-03-02T12:25:02Z,@bangwan8457,#GakYakin,2.0,
2024-03-02T12:22:32Z,@aepsaeroji2912,"Mudah""han bukan omong doang,kalau hanya omong burung beo pun bisa.",1.0,
2024-03-02T12:18:11Z,@CLUMSY101,Yang pilih 02 emang semua otakny d lobang pantat. Lupa kalian sama kejadian tahun 98 🖕🖕🖕,0.0,
